SCORE           NAME
0               MASH
2               ticash
3               mon
0               mash
0               mash
0               mash
0               kijh
0               mish
5               mash
1               mash
1               mash
0             cassie
0                  5
0               mash
0                  5
0               mash
6               mash
0               mash
1               mash
7           karnaugh
0           KARNAUGH
